,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
142,EM-0012,2,Booking,['WEB'],2022-04-14,2022-04-30,2022-05-07,bb,919800.0,COP,SUPD,SUPD,1,CR,2,0,0,1,[],GRP,7,16,2,131400.0
143,LV-0006,2,Booking,['WEB'],2022-04-14,2022-04-21,2022-04-22,bb,197894.0,COP,SUPT,SUPT,1,CO,2,0,0,4,[],IND,1,7,2,197894.0
144,TM-0002,1,EXPEDIA PARTNER CENTRAL,['WEB'],2022-04-15,2022-04-15,2022-04-16,nb,194551.23,COP,SUPD,SUPD,1,US,2,0,0,1,[],IND,1,0,2,194551.23
145,KJ-0001,2,Booking,['WEB'],2022-04-17,2022-04-16,2022-04-17,nb,221195.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,-1,2,221195.0
146,LS-0010,-1,Zak,['DIR'],2022-04-17,2022-04-17,2022-04-18,bb,170000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],GRP,1,0,2,170000.0
147,LS-0010,-1,Zak,['DIR'],2022-04-17,2022-04-17,2022-04-18,bb,130000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],GRP,1,0,1,130000.0
148,SR-0005,2,Booking,['WEB'],2022-04-17,2022-04-20,2022-04-25,bb,2326495.0,COP,SUPT,SUPT,1,PL,2,0,0,1,[],IND,5,3,2,465299.0
149,JV-0018,2,Booking,['WEB'],2022-04-18,2022-04-25,2022-04-27,nb,328860.0,COP,TWIN,TWIN,1,PE,2,0,0,4,[],IND,2,7,2,164430.0
150,HO-0002,2,Booking,['WEB'],2022-04-18,2022-04-30,2022-05-01,bb,144900.0,COP,SUPT,SUPT,1,CO,2,0,0,4,[],IND,1,12,2,144900.0
151,AG-0022,2,Booking,['WEB'],2022-04-18,2022-04-30,2022-05-03,nb,453912.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],GRP,3,12,2,151304.0
152,AG-0022,2,Booking,['WEB'],2022-04-18,2022-04-30,2022-05-03,nb,480599.0,COP,SUPT,SUPT,1,CO,2,0,1,4,[],GRP,3,12,3,160199.66666666666
153,JO-0009,2,Booking,['WEB'],2022-04-18,2022-04-20,2022-04-22,nb,210672.0,COP,STDD,STDD,1,CO,1,0,0,1,[],IND,2,2,1,105336.0
154,RB-0003,-1,Zak,['DIR'],2022-04-18,2022-04-25,2022-04-27,bb,260000.0,COP,SUPD,SUPD,1,CO,1,0,0,4,[],IND,2,7,1,130000.0
155,GJ-0003,-1,Zak,"['DIR', 'COR']",2022-04-18,2022-04-18,2022-04-19,nb,105500.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,1,0,2,105500.0
156,JB-0022,2,Booking,['WEB'],2022-04-18,2022-04-19,2022-04-20,bb,119700.0,COP,STDD,STDD,1,AR,1,0,0,1,[],IND,1,1,1,119700.0
157,MP-0013,-1,Zak,['DIR'],2022-04-18,2022-04-19,2022-04-25,nb,660000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],GRP,6,1,1,110000.0
158,MP-0013,-1,Zak,['DIR'],2022-04-18,2022-04-25,2022-05-02,nb,714000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],GRP,7,7,1,102000.0
159,BR-0004,-1,Zak,['DIR'],2022-04-18,2022-04-25,2022-04-27,bb,260000.0,COP,SUPT,SUPT,1,CO,1,0,0,1,[],IND,2,7,1,130000.0
160,SR-0007,2,Booking,['WEB'],2022-04-20,2022-04-28,2022-04-30,bb,270900.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,2,8,2,135450.0
